"full_text" "searched_at"
"Croatia 🇭🇷 vs. Brazil 🇧🇷
Pop:  4 million — 216 million 
Through 70:00, even score and even possession.
 
Croatia always impresses! 

#WorldCup #Croatia #Brazil" 2022-12-09 11:32:33
"World Cup soccer players are also world class actors #WorldCup" 2022-12-09 11:32:33
"Let me repeat this because this guy is carrying the team on his back! #WorldCup #Croatia #Brazil https://t.co/aIEXIUN4kb" 2022-12-09 11:32:33
"Brazil population 216 Million 
Croatia population 4 million 

Soccer is an incredible equalizer 
This is a really fun match. 

#WorldCup #CroatiaVsBrazil" 2022-12-09 11:32:33
"It feels like I’m watching the Houston Cougars play the NC Wolfpack in the national championship game. One side is clearly more talented, but they’re playing the lesser team’s game. #CROBRA #WorldCup" 2022-12-09 11:32:33
"Looks like Brazil is having a hard time dealing with Croatia #WorldCup #brazil #Qatar2022" 2022-12-09 11:32:33
"Watching #WorldCup teams you care about in the knockouts is like flying in heavy turbulence. You hang onto your seat, sweating for 90 minutes and in the end, you pray you don’t die. #BRACRO 🇧🇷 https://t.co/ADRH1iS4FU" 2022-12-09 11:32:33
"Croatia 🇭🇷 vs 🇧🇷 brazil 

So glad the referee didn’t grant the penalty. Croatia deserve to win 

@FIFAWorldCup #QatarWorldCup2022 #WorldCup #Croatia #brazil #brazilvscroatia" 2022-12-09 11:32:33
"Let's Go  🇭🇷 !!
#WorldCup" 2022-12-09 11:32:33
"Piggies! #happyfriday Today at 11am we’ve got the Netherlands v Argentina in the @fifaworldcup quarterfinals. #seeyouatthepig #worldcup @ Pig and Whistle S.F. https://t.co/pSKPNjQj0N" 2022-12-09 11:32:33
"@saletan otoh, the tabloids are a delight to read whenever England stumbles #WorldCup" 2022-12-09 11:32:33
"World Cup #TheGameAwards #WorldCup #brazilvscroatia" 2022-12-09 11:32:33
"@MaxBretosSports I hope Croatia does not win today

FIFA fines Croatia for xenophobic taunts of Canada's Borjan at World Cup
https://t.co/9bOtk4nLSz

#WorldCup" 2022-12-09 11:32:33
"I have heaps on Brazil….. scared at HT #WorldCup" 2022-12-09 11:32:33
"Croatia 🇭🇷 Croatia. Brazil 🇧🇷 need to get in this game. Only team been on whole #WorldCup #QatarWorldCup2022 #Qatar2022 #Quarterfinals pressure them. 😬😬😬🤔🤔🤔 #WorldCup2022" 2022-12-09 11:32:33
"Has there been a more consistent team that Croatia 🇭🇷 in this #WorldCup? 
They don’t care if you are Canada or Brazil." 2022-12-09 11:32:33
"Fell in love with #Croatia on a visit there last year. As much as I’m wowed by #Brazil, give me the upset. #Cro #Bra #WorldCup https://t.co/qwPr2Htbii" 2022-12-09 11:32:33
"What a beautiful game 🇭🇷 vs 🇧🇷 !!!! #WorldCup" 2022-12-09 11:32:33
"Let's gooooooooo!!!! #HRV #WorldCup https://t.co/Jar7sTZrGn" 2022-12-09 11:32:33
"#Croatia looking and playing fine. #WorldCup" 2022-12-09 11:32:33
"CRACKING match this is! #BRAvCRO #BRA #CRO #WorldCup" 2022-12-09 11:32:33
"Don’t sleep on this Croatian team 👀 #WorldCup" 2022-12-09 11:32:33
"Someone, please remind Brazil 🇧🇷 about the eye of the tiger. #Worldcup https://t.co/6230L7zwyr" 2022-12-09 11:32:33
"Hot take:I think I prefer American football over soccer cause Futbol players are such frail bitches lol

#WorldCup" 2022-12-09 11:32:33
"I hope Brazil loses. #WorldCup" 2022-12-09 11:32:33
"Watching #CROBRA Futbol Match #WorldCup" 2022-12-09 11:32:33
"Quarterfinals baby LFG! #WorldCup" 2022-12-09 11:32:33
"Let's go, Croatia 🇭🇷 👏 💪 🙌  ⚽️ #WorldCup #CroatiaVsBrazil #croatianactor #actorslife https://t.co/hQn3TNey1W" 2022-12-09 11:32:33
"again i will say it, i don't think there is any team as technical as this croatian side in the worldcup." 2022-12-09 11:32:33
"Soccer is back #WorldCup" 2022-12-09 11:32:33
"I’m rooting for Brazil. The hubs for Croatia because his mom is Croatian and Hungarian. I’ve literally never seen him so excited. #WorldCup" 2022-12-09 11:32:33
"World Cup time. This casualness is about to end soon 🤪😂 #WorldCup" 2022-12-09 11:32:33
"Just a friendly reminder that my team uses @LucasPaqueta97 as a holding midfielder.  #borabill #borabrasil #hexa #WorldCup #brazilvscroatia" 2022-12-09 11:32:33
"Some great #Worldcup games today! I say #Brazil and #Argentina come away with victories! https://t.co/yefnhuWYrE" 2022-12-09 11:32:33
"Let’s fucking go Brasil!!!! #FIFAWorldCup #FIFAWorldCupQatar2022 #Qatar2022 #WorldCup #Brasil #RUMOAOHEXA #Neymar #ViniJr" 2022-12-09 11:32:33
"We're OPEN now till 3AM!!!

World Cup! Later, hoops &amp; Hockey on tv

Drink Specials from open till close 

Coleman is tending bar till 2pm, then Jess takes over till 8pm.  Chris &amp; Steve will finish the night!!

#BeUnique 
#WorldCup https://t.co/WTLOlCfjSZ" 2022-12-09 11:32:33
"Brazil vs Croatia 👀 #WorldCup" 2022-12-09 11:32:33
"Why I'm rooting for wins today by Argentina and Brazil. I would love a rivalry game in the Semis. #WorldCup https://t.co/5a61FiKxV4" 2022-12-09 11:32:33
"Speaking of soccer, the Netherland was the first European country that colonized the largest Muslim country ( Indonesia), while Argentina has about 2 million Syrian Argentinians including a past president #WorldCup" 2022-12-09 11:32:33
"Idk. Cricket is the like the Football Worldcup in many countries.  High population countries too. His signed photo might be worth a nice bag right or will be one day. https://t.co/mjLFIcM3yP" 2022-12-09 11:32:33
"Gm! Wakey wakey! ♥️It's Friday let's have an awesome day! First things first, who wins? #WorldCup #Francia #Inglaterra #eng #fra 🤔" 2022-12-09 11:32:33
"Which team do you give the most chance to win the World Cup 🏆🏆
#WorldCup #WorldcupQatar2022 #WorldCup2022" 2022-12-09 11:32:33
"Taking Argentina &amp; Brazil today #WorldCup" 2022-12-09 11:32:33
"from 12 inches to 18 feet ⚽️

re-brand launch for @fccincinnati 

#projectionmapping #motionGraphics #animation #NFTCollection #art #fcc #soccer #worldcup https://t.co/Xn9h8pMPJz" 2022-12-09 11:32:33
"I got a meeting in 2 1/2 hours and more importantly, the #WorldCup matches start in 3 1/2 hours so let me try to get some shut eye." 2022-12-09 11:32:33
"The Barn opens early for #WorldCup viewing - #free breakfast buffet for those joining them at 10am for #HRV vs #BRA. #OakBluffs #restaurant" 2022-12-09 11:32:33
"Good morning #WorldCup2022 #worldcup #brazil https://t.co/PH0xqzM95t" 2022-12-09 11:32:33
"So excited for quarter finals I cant go to sleep #worldcup" 2022-12-09 11:32:33
