"full_text" "searched_at"
"🇧🇷 🇵🇹 🇫🇷 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇦🇷 🇳🇱

Ready for the last eight — wishing you all the best, Reds! 🤞

#MUFC || #WorldCup https://t.co/NbSnobmWVn" 2022-12-09 11:33:02
"Hakim Ziyech, 🇲🇦 star, donated all of his #WorldCup bonuses ($325,000) to poor people in Morocco. This team is historic on many levels. https://t.co/JnE9Ll6e5q" 2022-12-09 11:33:02
"⏰ It's #WorldCup quarter-final time for our Brazilian Reds! ✅🇧🇷

#MUFC https://t.co/fOyRhM9fZg" 2022-12-09 11:33:02
"Neymar needs to learn to pass the ball.

He holds #BRA back in these major tournaments because he wants it to be all about him.

He would be the next one off if I was the manager.

#CROBRA #WorldCup #Qatar2022" 2022-12-09 11:33:02
"Brazil actually play better without Neymar. #FIFAWorldCup #CroatiaVsBrazil #WorldCup #FIFAWorldCup2022" 2022-12-09 11:33:02
"Superb Diving from Anthony 😂😂😂 #CROBRA #WorldCup" 2022-12-09 11:33:02
"RT @premestateswine: What do you think the score will be in Saturday’s match? One person who guesses correctly and follows our page will be…" 2022-12-09 11:33:02
"Antony looked like a fish diving the way he did #bra #WorldCup" 2022-12-09 11:33:02
"RT @NaomiWildman3: #patagonia is the ultimate place to be a #naturist 🥰

Best of luck to #Argentina today in the #WorldCup ! I got my shopp…" 2022-12-09 11:33:02
"RT @ManUtd: ⚽️ Tools for the job.

Hoping to see plenty of United action with today's #WorldCup quarter-final matchballs! 🤞

#MUFC || @adid…" 2022-12-09 11:33:02
"RT @BitMartExchange: ⚽️ #WorldCup Quarter-finals Prediction 2
🇳🇱 #Netherlands vs 🇦🇷 #Argentina Who will win?

1️⃣ Follow us, RT, tag 5 frie…" 2022-12-09 11:33:02
"How was Japan able to get a goal on Croatia, but Brazil can't before 70 mins?? #WorldCup" 2022-12-09 11:33:02
"RT @XTexchange: ⚽ #XTWorldCup Activity: Spot the XT Flag Giveaway 🎁

⏰ Time: Dec 5 - Dec 19, 2022

Rules 👇
✅ Follow @XTexchange  
✅ RT &amp; Sp…" 2022-12-09 11:33:02
"Not surprised Croatia and Brazil are tied right now. Croatia was 2nd place last World Cup. #WorldCup" 2022-12-09 11:33:02
"73” 0-0 Croatia - Brazil 

Anthony circus act 🤡 

#CROBRA #KROBRA #WorldCup #QatarWorldCup2022 #Qatar2022  #FIFAWorldCup  #FIFAWorldCup2022 #FIFAWorldCupQatar2022 #SelecaoBrasileira #Croatia #Brazil" 2022-12-09 11:33:02
"RT @bitsportgaming: 🚨LIVE NOW: BitSport #WorldCup Simulation Series | Stake - Predict - Earn.

 🇭🇷#Croatia  vs 🇧🇷 #Brazil

Predict. Win. Ea…" 2022-12-09 11:33:02
"RT @bitsportgaming: 🚨LIVE NOW: BitSport #WorldCup Simulation Series | Stake - Predict - Earn.

 🇭🇷#Croatia  vs 🇧🇷 #Brazil

Predict. Win. Ea…" 2022-12-09 11:33:02
"How it's been.

Croatia playing well but creating almost nothing. Brazil has a few half chances and one great Neymar chance that was saved.

#WorldCup #Brazil #Croatia https://t.co/xWCTikh5az" 2022-12-09 11:33:02
